Name,Rating,Reviews,Category,Address,Website,Phone,Url
"V-SAK TECHNOLOGIES","","","Computer service","Sai Mandir RdNear Post Office, Plot No. 8A, Chakradhar Nagar, Jawahar Nagar, Ayodhya nagar, Ayodhya, Nagpur, Maharashtra 440024","","","https://www.google.com/maps/place/V-SAK+TECHNOLOGIES/data=!4m7!3m6!1s0x3bd4b914e60d6ad1:0x72a0820e9873b726!8m2!3d21.1174559!4d79.1109003!16s%2Fg%2F11y1rx47my!19sChIJ0WoN5hS51DsRJrdzmA6CoHI?authuser=0&hl=en&rclk=1"
"HN Technology","","","Computer repair service","Plot no 3 shivsakti Nagar, Manewada, Nagpur, Maharashtra 440024","","","https://www.google.com/maps/place/HN+Technology/data=!4m7!3m6!1s0x3bd4bfd2da8566bd:0xb209f16d86babab9!8m2!3d21.1048113!4d79.1092174!16s%2Fg%2F11ghdrmpyy!19sChIJvWaF2tK_1DsRubq6hm3xCbI?authuser=0&hl=en&rclk=1"
"P-TECH ELECTRONICS","5.0","3","Electronics manufacturer","62, Ambika Nagar, Ayodhya nagar, Nagpur, Maharashtra 440024","","","https://www.google.com/maps/place/P-TECH+ELECTRONICS/data=!4m7!3m6!1s0x3bd4b9347a7719af:0xb0c02223051e5fe6!8m2!3d21.1133114!4d79.1112221!16s%2Fg%2F11g2121qkv!19sChIJrxl3ejS51DsR5l8eBSMiwLA?authuser=0&hl=en&rclk=1"
"Fusion Technology","4.8","23","Software company","A 81, Juni Shukrawari, Ganesh Nagar, Nandanvan, Nagpur, Maharashtra 440024","","0788 752 5546","https://www.google.com/maps/place/Fusion+Technology/data=!4m7!3m6!1s0x3bd4c79c1d59c8d7:0x539b7193b2cdcd9!8m2!3d21.1368204!4d79.1158727!16s%2Fg%2F11ts0rnlq1!19sChIJ18hZHZzH1DsR2dwsOxm3OQU?authuser=0&hl=en&rclk=1"
"Puro Technologies","","","Software company","10, East Balaji Nagar, Manewada Road, Nagpur, Maharashtra 440024","","093267 26811","https://www.google.com/maps/place/Puro+Technologies/data=!4m7!3m6!1s0x3bd4bf53dc169cad:0xdfd3f50fdae5d400!8m2!3d21.11492!4d79.1044611!16s%2Fg%2F11ddzwsz3q!19sChIJrZwW3FO_1DsRANTl2g_1098?authuser=0&hl=en&rclk=1"
"DIGITRON SOFTWARES AND TECHNOLOGY / Digital marketing /application development/ social media marketing","4.5","223","Software company","10A, c/o, Kharbi Rd, above SAI ENTERPRIESE, beside CANARA ATM, New Diamond Nagar, Shaktimata Nagar, Kharbi, Nagpur, Maharashtra 440024","https://digitronsoftwares.com/","077092 66577","https://www.google.com/maps/place/DIGITRON+SOFTWARES+AND+TECHNOLOGY+%2F+Digital+marketing+%2Fapplication+development%2F+social+media+marketing/data=!4m7!3m6!1s0x3bd4c7d17a003eb1:0x5935cf9713952ca7!8m2!3d21.1261222!4d79.1353013!16s%2Fg%2F11h5l_m9t1!19sChIJsT4AetHH1DsRpyyVE5fPNVk?authuser=0&hl=en&rclk=1"
"ConnectIn Technologies Ltd","","","Software company","4475+Q62, Rajanigandh, Ambika Nagar, Ayodhya nagar, Nagpur, Maharashtra 440024","https://www.reconnectintech.com/","087675 06492","https://www.google.com/maps/place/ConnectIn+Technologies+Ltd/data=!4m7!3m6!1s0x3bd4bf531be199a1:0xdfabbb0a60367338!8m2!3d21.1143999!4d79.1080064!16s%2Fg%2F11mnln3bqq!19sChIJoZnhG1O_1DsROHM2YAq7q98?authuser=0&hl=en&rclk=1"
"S4 Technology","","","Software company","R-105, Medical Chowk, Reshimbag, Hanuman Nagar, Nagpur, Maharashtra 440009","","0712 270 3883","https://www.google.com/maps/place/S4+Technology/data=!4m7!3m6!1s0x3bd4c0af6785ee89:0x99cccbf98ce70fc7!8m2!3d21.1296186!4d79.0990544!16s%2Fg%2F11hzlz83dy!19sChIJie6FZ6_A1DsRxw_njPnLzJk?authuser=0&hl=en&rclk=1"
"Nuflucon Technology | IT Solution","5.0","7","Software company","Plot No. 21 A, Substation, Ramna Maroti Mandir, behind Bachapn Play School, near Nirmal Nagar, Ramana Maruti Nagar, Nagpur, Maharashtra 440024","","070585 60579","https://www.google.com/maps/place/Nuflucon+Technology+%7C+IT+Solution/data=!4m7!3m6!1s0x3bd2d50fa382a125:0xdecb27cc33d91b0c!8m2!3d21.1238064!4d79.127473!16s%2Fg%2F11g22zhqkw!19sChIJJaGCow_V0jsRDBvZM8wny94?authuser=0&hl=en&rclk=1"
"Harsh Computer Technology","","","Computer support and services","KDK College Rd, Rajendra Nagar, Nandanvan, Nagpur, Maharashtra 440024","","077419 57809","https://www.google.com/maps/place/Harsh+Computer+Technology/data=!4m7!3m6!1s0x3bd4c7e3a76d152b:0xff8d1ba51a4b5588!8m2!3d21.1391172!4d79.1250524!16s%2Fg%2F11pkfnsy8n!19sChIJKxVtp-PH1DsRiFVLGqUbjf8?authuser=0&hl=en&rclk=1"
